danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo_confidence,time_signature_confidence,key_confidence,mode,mode_confidence,al_type_compilation,al_type_single,exp_False,track_dur_sc,pop_sc,loud_sc,tempo_sc,time_sc,key_sc,follow_sc,target
0.827,0.421,0.0609,0.824,1.17e-05,0.164,0.703,0.493,1.0,0.215,1,0.426,0,1,1,0.272350561211172,0.5978260869565217,0.6767062934406927,0.2502697439406299,0.75,0.7272727272727273,0.0025204096936793,0
0.726,0.91,0.179,0.0413,7.81e-06,0.479,0.648,0.724,1.0,0.065,0,0.156,0,1,1,0.184882464688651,0.8369565217391304,0.9443959132515476,0.4997828890233954,0.75,0.3636363636363636,0.0470255026496038,2
0.616,0.514,0.149,0.0626,1.16e-05,0.135,0.319,0.157,1.0,1.0,0,0.763,0,1,1,0.2102856086313408,0.7065217391304348,0.6788332257206882,0.6186610173951946,0.75,0.7272727272727273,0.0038634105419033,2
0.627,0.675,0.213,0.125,0.0,0.0784,0.961,0.202,1.0,0.515,0,0.485,0,0,1,0.3637105194466196,0.7934782608695652,0.7477686201526832,0.1270362377957314,0.75,0.4545454545454546,0.3335865843852912,3
0.684,0.493,0.124,0.517,0.0,0.0672,0.501,0.503,1.0,0.463,0,0.667,0,0,0,0.1932208735752197,0.7065217391304348,0.7165862736906072,0.3887339140503697,0.75,0.5454545454545454,0.0066912690542005,3
0.659,0.688,0.0673,0.207,0.0,0.113,0.632,0.201,0.971,0.377,1,0.505,0,1,0,0.3571268018213985,0.8043478260869565,0.8418094116753388,0.6182925866470171,0.75,0.5454545454545454,0.0133938786571281,0
0.703,0.709,0.0433,0.00379,5.43e-05,0.333,0.538,0.891,1.0,0.729,0,1.0,0,1,1,0.1825857768496766,0.8152173913043479,0.8600402597895855,0.3811942419537356,0.75,0.0909090909090909,0.0159313355218108,2
0.955,0.77,0.211,0.0147,0.0,0.122,0.636,0.45,0.991,0.382,1,0.462,0,0,0,0.1788643087096493,0.6847826086956521,0.6901135629913782,0.4078002052685596,0.75,0.1818181818181818,0.0151462115229516,1
0.552,0.433,0.068,0.777,0.0,0.139,0.334,0.252,0.916,0.358,1,0.553,0,1,1,0.1478073610023492,0.5652173913043479,0.6464734703179003,0.192952446117003,0.75,0.5454545454545454,0.0052378068996243,0
0.871,0.687,0.155,0.0721,0.00141,0.357,0.586,0.959,0.815,0.0,1,0.274,0,0,1,0.082477740073668,0.5108695652173914,0.8506209882638914,0.368180741598463,0.75,0.6363636363636364,0.0028796179398212,1
0.743,0.89,0.0837,0.366,0.0,0.0966,0.809,0.608,0.494,0.391,0,0.504,0,0,0,0.21825603990835,0.7826086956521738,0.8113487029511184,0.3133898260480539,0.75,0.6363636363636364,0.0049586731049118,3
0.83,0.739,0.0627,0.136,2.11e-06,0.162,0.631,0.5,1.0,0.399,0,0.42,0,1,0,0.2971972069955625,0.7826086956521738,0.8134756352311139,0.2499539461564778,0.75,0.6363636363636364,0.0004812372756748,2
0.501,0.462,0.0726,0.186,0.0,0.418,0.585,0.275,0.985,0.751,1,0.736,0,0,1,0.2319835987122596,0.5652173913043479,0.7486421816248242,0.1481091607673886,0.75,0.6363636363636364,0.0007719297065901,1
0.798,0.605,0.0517,0.00871,0.0,0.107,0.352,0.709,0.51,0.031,1,0.075,0,0,1,0.1878009077989501,0.4891304347826087,0.7138896274070415,0.3947340719492618,0.75,0.7272727272727273,0.0030419477174351,1
0.632,0.806,0.155,0.301,0.0,0.2,0.293,0.088,0.793,0.566,0,0.579,0,1,0,0.1835030018271992,0.5869565217391304,0.7991948042082873,0.5205597515724097,0.5,0.6363636363636364,0.0015936469664463,2
0.818,0.728,0.0724,0.0985,0.0,0.0917,0.597,0.853,1.0,0.744,0,0.643,0,1,1,0.1731851271788624,0.75,0.79927076607543,0.4273270349219716,0.75,0.0909090909090909,0.0020635891282848,2
0.78,0.719,0.0506,0.302,0.000196,0.0931,0.336,0.922,0.973,0.549,0,0.532,0,0,0,0.2232228312886104,0.7608695652173914,0.8811576588552545,0.4471236085160136,0.75,0.2727272727272727,0.1434369686531512,3
0.669,0.742,0.0441,0.296,0.0,0.355,0.716,0.054,1.0,0.194,0,0.434,0,1,1,0.2302343455436643,0.8586956521739131,0.884044209806677,0.9463012184531172,0.75,0.0909090909090909,0.0961135857729181,2
0.798,0.667,0.124,0.104,0.000935,0.0871,0.501,0.655,0.897,0.454,0,0.341,0,0,1,0.1830625163142782,0.5108695652173914,0.7870029245318848,0.36195031448196,0.75,0.3636363636363636,0.0023994256666332,3
0.464,0.344,0.033,0.778,1.23e-06,0.132,0.751,0.039,0.854,0.543,1,0.561,0,0,1,0.1695597320107891,0.7282608695652173,0.7030650613392075,0.7744414326692807,0.75,0.8181818181818182,0.0905137718378826,1
0.79,0.423,0.0533,0.87,0.0,0.149,0.726,0.678,0.996,0.378,0,0.397,0,1,1,0.2574973172075756,0.5869565217391304,0.7158646359527516,0.4865917524145373,0.75,0.8181818181818182,0.0008105130158013,2
