artist,popularity,country,danceability,energy,acousticness,instrumentalness,valence,loudness,tempo_confidence,time_signature,time_signature_confidence,k_0,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10,key_confidence,mode,mode_confidence,artist_followers,al_type_compilation,al_type_single,exp_False,al_total_tracks_log,track_dur_log,speechiness_log,liveness_log,tempo_log
Mert Demir,78,turquía,0.7,0.589,0.0297,1.4e-05,0.915,-9.974,0.519,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0.743,0,0.657,51911,0,1,1,0.0,5.481159621088721,-3.571985702642437,-2.3156703325427013,4.605310176189006
Mayorkun,64,nigeria,0.931,0.676,0.0152,0.0,0.739,-7.492,1.0,4,1.0,0,0,0,0,0,0,1,0,0,0,0,0.029,0,0.283,820846,0,1,1,0.0,5.10594547390058,-2.99974029495153,-2.2730262907525014,4.718034477766825
Grupo Marca Registrada,82,mexico,0.851,0.542,0.361,3.73e-06,0.789,-8.152,0.238,4,0.147,0,0,0,0,0,0,0,0,0,0,1,0.39,1,0.246,2188898,0,1,1,0.0,5.280341769215699,-2.1037342342488805,-2.0249533563957662,4.623952685287458
Dear Jane,65,hong_kong,0.419,0.811,0.101,0.0,0.563,-5.263,0.167,4,0.968,0,0,0,0,0,0,0,0,0,0,0,0.549,1,0.589,184808,0,1,1,0.0,5.558274890984963,-3.313186504339442,-1.18090753139494,5.111782948101102
Luciano,76,alemania,0.797,0.791,0.119,0.0,0.828,-6.264,0.775,4,1.0,0,0,0,0,0,0,0,0,0,0,1,0.498,1,0.402,1649304,0,0,0,2.995732273553991,5.315960801720632,-1.1086626245216111,-2.1803674602697964,4.92766664335649
Xolidayboy,56,bielorrusia,0.764,0.572,0.134,0.0,0.374,-6.036,0.467,4,0.758,0,0,0,0,0,0,0,0,0,0,0,0.652,0,0.766,7552,0,1,1,0.0,5.249830656331796,-2.9681171065210177,-2.1715568305876416,4.786933253522616
kizaru,55,bielorrusia,0.888,0.879,0.0198,0.0,0.242,-4.817,0.089,4,0.978,0,0,0,0,0,0,0,1,0,0,0,0.678,1,0.554,1079604,0,0,0,2.4849066497880004,5.002670324441959,-1.7486999797676082,-2.0794415416798357,5.043199284969519
Wizkid,63,nigeria,0.708,0.726,0.329,0.137,0.58,-5.386,0.701,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0.843,0,0.67,3358687,0,0,1,2.5649493574615367,5.041701050926046,-2.50715225873532,-1.8325814637483102,4.6440062097732895
Thalapathy Vijay,79,inglaterra,0.545,0.98,0.666,0.00709,0.658,-6.464,0.033,4,1.0,0,0,0,0,0,0,0,0,0,1,0,0.818,1,0.482,209914,0,1,1,0.0,5.659760922561871,-2.047942874620465,-2.540842282118304,4.827993686091376
Жугунусов Мирас,48,kazijistán,0.692,0.586,0.589,0.0,0.309,-6.602,0.474,4,1.0,0,0,0,0,0,0,0,1,0,0,0,0.225,1,0.567,135165,0,1,1,0.0,5.356878684746208,-2.0955709236097197,-1.8263509139976741,4.499709665329932
