track_duration,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,artist_followers,al_type_compilation,al_type_single,exp_False
169.002,80,0.774,0.917,0.049,0.259,0.0,0.355,0.891,-3.007,130.003,0.908,4,1.0,1,0.658,1,0.64,340765,0,1,0
207.195,59,0.853,0.514,0.489,0.0847,7.62e-06,0.108,0.312,-10.716,160.012,0.078,4,1.0,1,0.853,1,0.631,1079604,0,0,0
207.386,54,0.381,0.405,0.0325,0.629,0.0,0.418,0.273,-7.325,130.94,0.225,4,0.796,1,0.553,1,0.572,56575,0,0,1
156.038,58,0.571,0.312,0.0816,0.187,0.0,0.0951,0.191,-15.002,154.023,0.402,4,0.257,6,0.639,0,0.685,40054,0,1,1
204.76,74,0.739,0.682,0.0561,0.089,0.000259,0.526,0.638,-6.811,129.983,0.9,4,1.0,10,0.333,1,0.38,1782514,0,0,1
234.256,53,0.711,0.576,0.326,0.417,0.000153,0.119,0.484,-6.165,100.524,0.306,4,0.997,9,0.482,0,0.363,100924,0,0,1
219.187,77,0.758,0.599,0.0877,0.57,1.13e-06,0.129,0.557,-5.99,129.96,0.668,4,1.0,4,0.576,0,0.568,8341,0,1,0
246.838,71,0.77,0.677,0.0589,0.526,0.000483,0.128,0.942,-6.427,135.982,0.644,4,1.0,10,0.688,1,0.427,258458,0,1,1
294.026,64,0.455,0.297,0.0265,0.212,2.14e-06,0.121,0.243,-11.63,90.093,0.145,4,0.852,7,0.598,1,0.692,1200326,0,1,1
244.669,74,0.602,0.388,0.0536,0.334,3.7e-05,0.126,0.3,-12.098,140.006,0.702,4,1.0,0,0.464,0,0.564,8994783,0,1,1
292.752,73,0.627,0.56,0.0521,0.149,0.0,0.0922,0.719,-10.006,177.899,0.102,4,0.977,7,0.583,1,0.663,381707,0,1,1
168.437,81,0.863,0.62,0.135,0.0508,0.00324,0.129,0.432,-7.167,103.971,0.938,4,1.0,7,0.977,1,0.666,1644225,0,1,1
181.507,62,0.843,0.774,0.0612,0.00813,0.0,0.0668,0.391,-3.998,101.982,0.424,4,1.0,10,0.16,0,0.414,37890,0,1,0
161.082,55,0.729,0.57,0.181,0.283,1.02e-06,0.0765,0.593,-6.072,156.999,0.222,4,1.0,9,0.645,1,0.433,187908,0,0,1
215.731,61,0.835,0.425,0.0367,0.538,0.0,0.08,0.779,-8.806,96.001,0.571,4,1.0,5,0.531,1,0.535,480030,0,0,1
226.706,63,0.827,0.421,0.0609,0.824,1.17e-05,0.164,0.703,-8.996,98.041,0.493,4,1.0,8,0.215,1,0.426,277455,0,1,1
178.453,85,0.726,0.91,0.179,0.0413,7.81e-06,0.479,0.648,-1.948,135.966,0.724,4,1.0,4,0.065,0,0.156,5175133,0,1,1
192.467,73,0.616,0.514,0.149,0.0626,1.16e-05,0.135,0.319,-8.94,154.035,0.157,4,1.0,8,1.0,0,0.763,425249,0,1,1
277.106,81,0.627,0.675,0.213,0.125,0.0,0.0784,0.961,-7.125,79.31,0.202,4,1.0,5,0.515,0,0.485,36710488,0,0,1
183.053,73,0.684,0.493,0.124,0.517,0.0,0.0672,0.501,-7.946,119.087,0.503,4,1.0,6,0.463,0,0.667,736448,0,0,0
273.474,82,0.659,0.688,0.0673,0.207,0.0,0.113,0.632,-4.649,153.979,0.201,4,0.971,6,0.377,1,0.505,1474054,0,1,0
177.186,83,0.703,0.709,0.0433,0.00379,5.43e-05,0.333,0.538,-4.169,117.941,0.891,4,1.0,1,0.729,0,1.0,1753295,0,1,1
175.133,71,0.955,0.77,0.211,0.0147,0.0,0.122,0.636,-8.643,121.985,0.45,4,0.991,2,0.382,1,0.462,1666894,0,0,0
158.0,60,0.552,0.433,0.068,0.777,0.0,0.139,0.334,-9.792,89.329,0.252,4,0.916,6,0.358,1,0.553,576498,0,1,1
121.96,55,0.871,0.687,0.155,0.0721,0.00141,0.357,0.586,-4.417,115.963,0.959,4,0.815,7,0.0,1,0.274,316985,0,0,1
196.864,80,0.743,0.89,0.0837,0.366,0.0,0.0966,0.809,-5.451,107.635,0.608,4,0.494,7,0.391,0,0.504,545780,0,0,0
240.413,80,0.83,0.739,0.0627,0.136,2.11e-06,0.162,0.631,-5.395,97.993,0.5,4,1.0,7,0.399,0,0.42,53049,0,1,0
204.437,60,0.501,0.462,0.0726,0.186,0.0,0.418,0.585,-7.102,82.513,0.275,4,0.985,7,0.751,1,0.736,85039,0,0,1
180.063,53,0.798,0.605,0.0517,0.00871,0.0,0.107,0.352,-8.017,119.999,0.709,4,0.51,8,0.031,1,0.075,334849,0,0,1
177.692,62,0.632,0.806,0.155,0.301,0.0,0.2,0.293,-5.771,139.124,0.088,3,0.793,7,0.566,0,0.579,175467,0,1,0
172.0,77,0.818,0.728,0.0724,0.0985,0.0,0.0917,0.597,-5.769,124.953,0.853,4,1.0,1,0.744,0,0.643,227183,0,1,1
199.604,78,0.78,0.719,0.0506,0.302,0.000196,0.0931,0.336,-3.613,127.962,0.922,4,0.973,3,0.549,0,0.532,15784982,0,0,0
203.472,87,0.669,0.742,0.0441,0.296,0.0,0.355,0.716,-3.537,203.835,0.054,4,1.0,1,0.194,0,0.434,10577158,0,1,1
177.449,55,0.798,0.667,0.124,0.104,0.000935,0.0871,0.501,-6.092,115.016,0.655,4,0.897,4,0.454,0,0.341,264141,0,0,1
170.0,75,0.464,0.344,0.033,0.778,1.23e-06,0.132,0.751,-8.302,177.713,0.039,4,0.854,9,0.543,1,0.561,9960912,0,0,1
218.512,62,0.79,0.423,0.0533,0.87,0.0,0.149,0.726,-7.965,133.961,0.678,4,0.996,9,0.378,0,0.397,89285,0,1,1
153.946,67,0.682,0.633,0.239,0.307,0.0328,0.112,0.601,-6.213,123.259,0.037,5,1.0,4,0.532,1,0.504,1022777,0,0,0
249.343,57,0.497,0.426,0.0318,0.552,0.0,0.254,0.335,-8.605,139.577,0.06,4,0.939,3,0.496,1,0.673,391557,0,1,1
199.547,52,0.628,0.315,0.0331,0.649,0.0,0.095,0.731,-8.317,134.973,0.632,3,0.886,1,0.274,1,0.343,55460,0,0,1
188.142,71,0.757,0.597,0.177,0.286,0.0,0.102,0.865,-8.074,140.032,0.636,4,1.0,5,0.4,1,0.33,177560,0,1,0
237.693,74,0.669,0.737,0.0527,0.404,0.0,0.182,0.347,-4.603,149.926,0.054,4,0.921,6,0.008,0,0.365,2053229,0,0,0
124.238,79,0.531,0.464,0.346,0.814,1.57e-06,0.133,0.643,-9.882,170.085,0.127,4,1.0,0,0.636,0,0.692,1557879,0,1,0
180.41,80,0.612,0.882,0.0501,0.416,0.0,0.676,0.793,-2.66,145.974,0.455,4,1.0,5,0.38,0,0.463,1580032,0,0,1
148.897,59,0.594,0.864,0.149,0.095,0.0,0.149,0.804,-5.732,195.79,0.179,4,1.0,9,0.284,0,0.268,62639,0,1,0
155.998,56,0.674,0.884,0.043,0.000387,0.0577,0.18,0.477,-4.563,119.983,0.79,4,0.986,6,0.566,1,0.484,3398417,0,1,1
173.0,63,0.334,0.474,0.0423,0.887,0.0,0.116,0.481,-8.243,180.02,0.088,4,0.975,2,0.769,1,0.692,406493,0,1,1
206.0,94,0.587,0.742,0.0529,0.0128,0.00107,0.146,0.199,-6.64,145.007,0.601,4,0.974,6,0.335,0,0.539,2190419,0,1,0
171.88,82,0.709,0.56,0.171,0.034,0.0,0.315,0.541,-4.867,170.082,0.324,4,1.0,4,0.375,0,0.508,3850802,0,0,0
215.591,76,0.576,0.329,0.0487,0.813,0.000671,0.108,0.397,-8.87,72.91,0.001,4,0.996,10,0.585,1,0.647,1643312,0,0,1
300.786,68,0.534,0.861,0.0361,0.0758,0.0,0.167,0.286,-3.177,97.977,0.195,4,1.0,11,0.305,0,0.36,359454,0,0,1
235.562,79,0.847,0.638,0.0575,0.0596,0.0,0.0894,0.661,-3.764,156.935,0.543,4,0.993,0,0.726,1,0.581,2427220,0,1,1
225.882,84,0.585,0.662,0.351,0.385,0.0,0.0966,0.533,-4.235,169.239,0.138,4,0.926,5,0.085,0,0.257,587793,0,1,1
193.593,85,0.559,0.885,0.189,0.0432,0.0,0.333,0.683,-4.515,172.029,0.308,4,0.949,1,0.617,1,0.475,61771516,0,0,1
154.56,81,0.616,0.841,0.076,0.0559,0.00217,0.417,0.714,-4.779,110.029,0.706,4,1.0,5,0.662,0,0.646,1267704,0,1,1
168.079,54,0.858,0.695,0.341,0.105,0.0,0.087,0.338,-5.306,150.038,0.907,4,1.0,0,0.862,1,0.65,1079604,0,0,0
236.876,53,0.72,0.564,0.0308,0.0131,0.00663,0.0875,0.18,-6.548,133.976,0.87,4,1.0,5,0.488,1,0.486,591772,0,0,1
156.136,67,0.565,0.764,0.306,0.371,0.00192,0.123,0.734,-5.452,94.686,0.599,4,1.0,5,0.412,0,0.489,212130,0,0,1
270.0,59,0.573,0.447,0.0491,0.804,0.0,0.181,0.33,-9.358,135.9,0.385,4,0.836,0,0.564,0,0.778,73999,0,1,1
187.107,78,0.721,0.769,0.105,0.0922,0.0,0.0817,0.915,-4.111,155.932,0.701,4,1.0,7,0.398,1,0.512,5445961,0,0,1
114.666,51,0.777,0.589,0.353,0.0532,1.48e-05,0.29,0.5,-9.45,85.951,0.05,4,1.0,1,0.697,1,0.592,349928,0,0,0
200.04,90,0.514,0.73,0.0598,0.00146,9.54e-05,0.0897,0.334,-5.934,171.005,0.875,4,1.0,1,0.0,1,0.152,59590626,0,0,1
226.466,85,0.645,0.534,0.0479,0.157,0.0,0.0863,0.463,-10.8,105.02,0.698,4,0.932,6,0.101,0,0.297,5205667,0,0,1
203.96,59,0.771,0.571,0.316,0.172,0.0,0.126,0.38,-6.458,100.172,0.473,4,1.0,7,0.588,1,0.532,55234,0,0,0
185.172,60,0.787,0.879,0.191,0.00374,1.82e-06,0.124,0.775,-3.398,110.003,0.917,4,1.0,2,0.0,1,0.0,47707,0,1,0
185.333,75,0.686,0.493,0.142,0.0296,2.3e-05,0.111,0.236,-9.845,90.069,0.099,4,1.0,8,0.665,1,0.598,425249,0,1,1
202.735,82,0.795,0.8,0.0309,0.0354,7.25e-05,0.0915,0.934,-6.32,116.032,0.863,4,1.0,1,0.114,1,0.324,11087985,0,0,1
158.748,57,0.713,0.569,0.234,0.237,4.09e-05,0.153,0.683,-6.231,172.127,0.056,4,1.0,6,0.497,0,0.538,100924,0,0,0
145.676,75,0.63,0.458,0.0718,0.15,0.0255,0.108,0.208,-14.172,170.042,0.689,4,1.0,6,0.0,1,0.349,21633,0,1,1
187.2,52,0.779,0.552,0.0489,0.51,0.698,0.0896,0.0665,-5.764,99.997,0.508,4,1.0,6,0.055,0,0.413,119174,0,1,1
238.116,64,0.542,0.434,0.0403,0.468,6.06e-05,0.0885,0.473,-9.396,139.87,0.611,3,0.871,8,0.479,1,0.6,7476,0,1,1
148.0,69,0.656,0.817,0.322,0.5,0.0,0.0861,0.668,-5.855,105.457,0.342,4,1.0,6,0.662,0,0.572,298400,0,1,0
250.434,78,0.782,0.643,0.0438,0.0136,0.0,0.0654,0.627,-4.956,114.994,0.766,4,0.167,8,0.296,0,0.228,7510082,0,1,1
194.022,82,0.774,0.742,0.0766,0.473,0.000472,0.342,0.736,-4.178,134.991,0.649,4,1.0,8,0.0,1,0.248,829708,0,1,1
202.245,73,0.659,0.772,0.11,0.0748,0.000346,0.187,0.484,-4.602,126.041,0.826,4,1.0,0,0.731,1,0.624,11087985,0,0,1
252.162,71,0.773,0.767,0.0819,0.0352,0.0,0.299,0.49,-4.019,94.99,0.48,4,0.997,7,0.364,1,0.496,33311021,0,0,0
226.073,59,0.854,0.589,0.33,0.185,0.0,0.165,0.188,-6.56,95.0,0.134,4,1.0,0,0.322,1,0.407,55234,0,0,0
201.6,57,0.895,0.607,0.125,0.361,0.000145,0.22,0.725,-6.934,100.034,0.478,4,1.0,7,0.743,1,0.531,230031,0,1,1
203.529,62,0.538,0.669,0.217,0.37,1.06e-06,0.13,0.198,-8.325,101.993,0.447,4,0.864,2,0.464,0,0.589,187908,0,1,0
202.253,53,0.721,0.799,0.0355,0.153,0.000134,0.123,0.618,-5.888,101.992,0.9,4,0.337,7,0.779,0,0.667,714237,0,1,1
151.968,52,0.565,0.59,0.0838,0.402,0.0,0.265,0.272,-5.73,108.111,0.359,1,0.312,1,0.459,0,0.571,102718,0,0,1
193.588,56,0.635,0.813,0.0509,0.0158,0.0,0.127,0.387,-5.5,169.904,0.32,4,0.989,8,0.803,0,0.564,225236,0,1,0
278.5,75,0.603,0.325,0.0456,0.35,0.0,0.113,0.323,-11.683,123.759,0.482,4,1.0,3,0.583,1,0.661,133934,0,1,1
291.082,61,0.565,0.61,0.391,0.0701,4.11e-06,0.11,0.397,-8.1,94.136,0.268,4,1.0,0,0.741,0,0.689,55234,0,0,0
240.759,76,0.325,0.345,0.0311,0.495,0.0,0.0726,0.135,-9.536,77.835,0.162,4,0.628,5,0.36,1,0.455,622753,0,1,1
171.077,80,0.726,0.841,0.0474,0.486,0.0,0.778,0.773,-2.811,118.0,0.826,4,0.761,1,0.533,1,0.659,973114,0,0,1
152.666,69,0.648,0.816,0.285,0.354,0.0,0.813,0.856,-5.392,164.902,0.433,4,0.935,11,0.0,1,0.236,212078,0,0,0
206.42,83,0.744,0.868,0.047,0.0326,0.0,0.0822,0.586,-4.524,93.037,0.749,4,0.915,1,0.501,1,0.524,65270837,0,0,0
156.0,63,0.68,0.545,0.116,0.537,0.0,0.121,0.363,-7.026,204.141,0.255,3,1.0,11,0.683,0,0.682,303937,0,1,1
179.5,65,0.685,0.798,0.0804,0.0408,0.0,0.0926,0.846,-6.056,148.045,0.442,4,1.0,10,0.283,0,0.419,604770,0,1,1
133.0,66,0.738,0.783,0.228,0.34,0.0,0.0658,0.719,-5.931,150.009,0.772,4,1.0,2,0.811,1,0.71,212078,0,0,0
148.76,68,0.822,0.524,0.455,0.223,0.0,0.0885,0.616,-8.973,148.959,0.362,4,1.0,10,0.813,0,0.706,1819933,0,0,0
208.615,84,0.817,0.67,0.0506,0.123,1.92e-06,0.128,0.495,-6.534,130.058,0.733,3,0.703,1,0.534,1,0.586,65270837,0,0,1
199.42,76,0.761,0.554,0.0854,0.193,0.00844,0.0802,0.555,-8.119,92.52,0.767,4,1.0,1,0.479,0,0.443,3324229,0,1,1
140.133,55,0.906,0.457,0.252,0.0458,0.000414,0.119,0.371,-9.237,132.061,0.677,4,0.993,8,0.004,0,0.007,9842,0,1,0
