track_dur_log,popularity,danceability,energy,speech_log,acousticness,instrumentalness,liveness_log,valence,loudness,tempo_log,tempo_confidence,time_signature,time_signature_confidence,k_0,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10,key_confidence,mode,mode_confidence,artist_followers,al_type_compilation,al_type_single,exp_False
5.026252704991332,71,0.854,0.492,-0.8580218237501793,0.129,0.0,-2.4545714499919273,0.61,-7.743,4.869732033999069,0.459,4,1.0,0,0,1,0,0,0,0,0,0,0,0,0.59,0,0.533,1666894,0,0,0
5.1099737132755525,68,0.642,0.802,-1.546463113272712,0.22,0.0,-2.553613847797791,0.675,-4.161,4.504288514206837,0.092,4,1.0,0,0,0,0,0,0,0,0,0,1,0,0.185,0,0.0,951295,0,1,1
5.288267030694535,66,0.819,0.56,-3.486755270023802,0.337,0.0,-1.903808973036678,0.931,-6.887,4.787550074414057,0.758,4,1.0,0,0,0,0,0,1,0,0,0,0,0,0.363,1,0.402,5841,0,1,1
5.345200952446887,50,0.782,0.538,-1.2106617924767327,0.216,0.0,-2.1286317858706076,0.582,-6.926,5.01028856732681,0.108,4,0.99,0,0,0,0,1,0,0,0,0,0,0,0.545,0,0.444,316445,0,0,1
4.990010729101814,57,0.706,0.65,-1.3903023825174294,0.0021,1.32e-05,-1.7544636844843582,0.749,-7.791,4.990534622389252,0.575,4,0.305,0,0,0,0,0,1,0,0,0,0,0,0.066,0,0.401,148371,0,1,0
5.314146423384853,63,0.574,0.69,-3.0597376035299035,0.175,0.0,-1.6245515502441485,0.298,-5.198,4.466126485615381,0.318,4,0.968,0,0,0,0,0,0,1,0,0,0,0,0.26,0,0.592,299877,0,1,1
4.932399841242372,56,0.837,0.644,-2.682382454353632,0.129,0.00188,-2.3238087294456724,0.681,-7.508,4.615239321664875,0.885,4,1.0,0,0,0,0,0,0,0,0,0,0,1,0.471,0,0.513,57835,0,0,0
4.7808530889349266,71,0.718,0.836,-1.1488535051048565,0.537,0.0,-2.50470127711618,0.391,-4.654,4.891551412706824,0.213,4,0.902,0,0,0,0,0,0,0,0,0,0,0,0.318,1,0.441,2574313,0,1,0
5.100116396579406,83,0.851,0.819,-1.5511690043101247,0.337,0.000153,-2.7211354406508654,0.903,-4.677,5.115181478276188,0.187,3,0.768,0,0,0,0,0,0,0,1,0,0,0,0.376,1,0.734,4135426,0,1,0
5.487391076164525,73,0.513,0.583,-3.270169119255751,0.355,1.96e-05,-1.7147984280919266,0.866,-10.863,5.193973001101334,0.062,4,1.0,0,0,0,0,0,0,0,0,0,1,0,0.521,1,0.615,856570,0,0,1
5.57387498395049,64,0.536,0.702,-3.5578511917075324,0.154,1.61e-06,-2.366590422969958,0.408,-6.327,4.913353171289702,0.226,4,0.993,0,0,0,0,0,0,0,0,0,0,0,0.433,0,0.556,396339,0,0,1
5.6685144725708705,62,0.521,0.471,-3.451438598098902,0.786,0.0,-2.2537949288246137,0.269,-8.247,4.522375361379177,0.072,4,0.883,0,0,0,0,1,0,0,0,0,0,0,0.436,1,0.498,680848,0,0,1
5.276286458477214,54,0.814,0.62,-2.145581344184381,0.253,0.0,-0.9996723408132061,0.597,-5.092,4.9425991076972995,0.875,4,0.702,0,0,0,0,0,0,0,1,0,0,0,0.458,1,0.366,862342,0,1,1
5.142552050563775,74,0.705,0.574,-2.3507254683219805,0.645,0.0,-2.1803674602697964,0.447,-6.83,4.74464513066161,0.054,4,0.974,0,0,0,0,0,0,0,0,0,0,1,0.567,0,0.661,2906636,0,0,0
5.255790795061578,56,0.872,0.665,-2.111964733385396,0.187,0.0,-2.50470127711618,0.897,-6.556,4.700662167447312,0.921,4,1.0,1,0,0,0,0,0,0,0,0,0,0,0.19,0,0.346,2907512,0,1,1
5.1539792193013225,91,0.876,0.498,-3.0407296394847267,0.0706,0.0,-1.9449106487222299,0.428,-7.511,4.8041521836751535,0.795,4,0.653,0,0,0,0,0,0,0,0,0,0,1,0.986,1,0.699,65270837,0,0,1
5.491302696004654,88,0.754,0.646,-1.1488535051048565,0.152,1.85e-05,-2.2256240518579173,0.429,-5.795,5.17098954904237,0.415,4,1.0,0,0,0,0,0,0,0,1,0,0,0,0.475,1,0.77,36710488,0,0,1
5.084313173773467,83,0.761,0.574,-2.695627681103653,0.78,0.0,-0.7787050689215919,0.605,-8.196,4.821772389258879,0.691,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0.708,1,0.735,18149242,0,0,1
5.197242100523117,68,0.555,0.328,-3.543913683863751,0.515,0.0,-1.8773173575897015,0.303,-10.356,4.939948130964628,0.188,4,1.0,1,0,0,0,0,0,0,0,0,0,0,0.658,1,0.68,78828,0,1,1
5.091699018815984,81,0.62,0.681,-1.0328245481301066,0.0138,0.0,-3.6969116258112007,0.741,-4.999,4.403653577286644,0.087,4,1.0,0,0,0,0,0,0,0,0,0,1,0,0.609,1,0.416,10628331,0,1,0
5.533994049027114,73,0.749,0.85,-2.071473372030659,0.203,0.0,-1.7147984280919266,0.912,-5.39,4.7704134012472945,0.901,4,0.996,0,0,0,0,0,0,0,0,0,0,1,0.769,0,0.746,1962376,0,1,1
5.2925507716536995,52,0.702,0.574,-0.9781661355922425,0.12,0.0,-2.3413259213104762,0.564,-11.054,4.942156576124016,0.448,4,0.458,0,0,1,0,0,0,0,0,0,0,0,0.437,1,0.587,349928,0,0,0
5.2354467869556,59,0.716,0.613,-1.3019532126861397,0.627,0.000207,-2.3217679124108197,0.56,-7.421,4.604720084707706,0.297,4,1.0,0,0,0,0,0,0,0,1,0,0,0,0.549,1,0.658,1096279,0,1,1
5.6222108209623896,60,0.559,0.465,-3.725543438485528,0.524,1.07e-06,-2.120263536200091,0.324,-6.219,4.381539015807124,0.04,4,1.0,0,0,0,0,0,0,0,0,0,0,1,0.685,1,0.638,1511829,0,0,1
5.639706068949067,86,0.412,0.236,-3.2728041668937564,0.83,0.00653,-1.9173226922034008,0.119,-15.159,4.943169826961724,0.342,4,0.819,0,0,0,0,1,0,0,0,0,0,0,0.655,0,0.65,77023432,0,1,1
5.566598705933332,89,0.841,0.358,-0.5259392615760389,0.0201,0.0,-0.941608539858445,0.329,-7.273,5.062569716250803,0.549,4,0.727,0,0,0,0,0,0,0,0,0,1,0,0.0,1,0.148,72390794,0,0,0
5.531557772633726,51,0.765,0.658,-2.1892564076870427,0.498,2.48e-05,-0.4588658848352796,0.28,-9.744,4.827689542533273,0.701,4,0.885,0,0,1,0,0,0,0,0,0,0,0,0.157,1,0.408,349928,0,0,0
5.169699596569004,68,0.658,0.757,-2.6255489795904663,0.223,0.000132,-2.5549000216085354,0.372,-7.018,4.976243967327918,0.402,4,1.0,0,0,0,0,0,0,0,1,0,0,0,0.205,0,0.403,1695630,0,1,0
5.0530368404674,62,0.662,0.561,-2.694147295933219,0.075,0.0,-1.5558971455060706,0.36,-6.424,4.350097274879708,0.128,4,0.969,0,0,0,0,0,0,0,1,0,0,0,0.395,0,0.493,136402,0,1,1
